image,condition,ground_truth_tampered,predicted_tampered,severity,tamper_ratio
kodim18.png,blur_region_32,True,False,,0.0046
kodim18.png,splice_32,True,False,,0.0059
kodim18.png,paste_block_64,True,True,low,0.0104
kodim18.png,copy_move_64,True,True,low,0.0104
kodim18.png,blur_region_64,True,True,low,0.0117
kodim18.png,splice_64,True,True,low,0.0104
kodim18.png,paste_block_128,True,True,low,0.0208
kodim18.png,copy_move_128,True,True,low,0.0508
kodim18.png,blur_region_128,True,True,low,0.043
kodim18.png,splice_128,True,True,low,0.0514
kodim18.png,global_brightness,True,False,,0.0
kodim18.png,salt_pepper_2pct,True,True,high,0.9922
kodim19.png,untampered,False,False,,0.0
kodim19.png,paste_block_32,True,False,,0.0052
kodim19.png,copy_move_32,True,False,,0.0059
kodim19.png,blur_region_32,True,False,,0.0046
kodim19.png,splice_32,True,False,,0.0059
kodim19.png,paste_block_64,True,False,,0.0085
kodim19.png,copy_move_64,True,True,low,0.0163
kodim19.png,blur_region_64,True,True,low,0.0117
kodim19.png,splice_64,True,True,low,0.0163
kodim19.png,paste_block_128,True,True,low,0.0208
kodim19.png,copy_move_128,True,True,low,0.0521
kodim19.png,blur_region_128,True,True,low,0.0469
kodim19.png,splice_128,True,True,low,0.0527
kodim19.png,global_brightness,True,False,,0.0
kodim19.png,salt_pepper_2pct,True,True,high,0.9889
kodim20.png,untampered,False,False,,0.0
kodim20.png,paste_block_32,True,False,,0.0052
kodim20.png,copy_move_32,True,False,,0.0059
kodim20.png,blur_region_32,True,False,,0.0052
kodim20.png,splice_32,True,False,,0.0059
kodim20.png,paste_block_64,True,True,low,0.0104
kodim20.png,copy_move_64,True,True,low,0.0163
kodim20.png,blur_region_64,True,True,low,0.0143
kodim20.png,splice_64,True,True,low,0.0163
kodim20.png,paste_block_128,True,True,low,0.0208
kodim20.png,copy_move_128,True,True,low,0.0527
kodim20.png,blur_region_128,True,True,low,0.0469
kodim20.png,splice_128,True,True,low,0.0527
kodim20.png,global_brightness,True,True,medium,0.2988
kodim20.png,salt_pepper_2pct,True,True,high,0.9479
kodim21.png,untampered,False,False,,0.0
kodim21.png,paste_block_32,True,False,,0.0052
kodim21.png,copy_move_32,True,False,,0.0059
kodim21.png,blur_region_32,True,False,,0.0013
kodim21.png,splice_32,True,False,,0.0059
kodim21.png,paste_block_64,True,True,low,0.0104
kodim21.png,copy_move_64,True,True,low,0.0163
kodim21.png,blur_region_64,True,True,low,0.0104
kodim21.png,splice_64,True,True,low,0.0163
kodim21.png,paste_block_128,True,True,low,0.0208
kodim21.png,copy_move_128,True,True,low,0.0527
kodim21.png,blur_region_128,True,True,low,0.043
kodim21.png,splice_128,True,True,low,0.0527
kodim21.png,global_brightness,True,False,,0.0039
kodim21.png,salt_pepper_2pct,True,True,high,0.9902
kodim22.png,untampered,False,False,,0.0
kodim22.png,paste_block_32,True,False,,0.0052
kodim22.png,copy_move_32,True,False,,0.0059
kodim22.png,blur_region_32,True,False,,0.0033
kodim22.png,splice_32,True,False,,0.0059
kodim22.png,paste_block_64,True,False,,0.0091
kodim22.png,copy_move_64,True,True,low,0.0163
kodim22.png,blur_region_64,True,True,low,0.013
kodim22.png,splice_64,True,True,low,0.0163
kodim22.png,paste_block_128,True,True,low,0.0208
kodim22.png,copy_move_128,True,True,low,0.0527
kodim22.png,blur_region_128,True,True,low,0.0423
kodim22.png,splice_128,True,True,low,0.0527
